keyword,aliases,pronunciation,old_term,new_term,english,description,clinical_feature,related_disease,related_assessment,tool_used,evaluation_method,normal_rom,mmt_grade,normal_value,score_interpretation,cutoff_value,measurement_position,related_special_test,related_exercise,exercise_protocol,clinical_use,clinical_tip
CP,"cp,CP,cerebral palsy,뇌성마비,씨피","씨피","","뇌성마비","Cerebral Palsy","뇌성마비(Cerebral Palsy)는 발달 중인 뇌 손상으로 인해 발생하는 비진행성 운동 및 자세 장애 질환으로 경직(spasticity), 균형 장애, 운동 발달 지연이 나타남.","경직, 운동 발달 지연, 비정상 보행, 균형 장애","경직형 뇌성마비|운동실조형 뇌성마비","GMFM|MAS|MMT","매트|보행보조기","대운동 기능 및 근긴장도 평가","","","","GMFM 및 MAS 기반 기능 수준 평가","조기 중재 중요","앉은자세(Sitting)|선자세(Standing)","Primitive reflex","보행훈련|균형훈련|NDT","자세조절→체중지지→보행훈련","소아 신경계 재활","고관절 탈구 위험 확인"
SCI,"sci,SCI,spinal cord injury,척수손상","에스씨아이","","척수손상","Spinal Cord Injury","척수손상(Spinal Cord Injury)은 척수의 외상 또는 질환으로 인해 운동, 감각, 자율신경 기능 손상이 발생하는 질환으로 손상 수준(level)에 따라 기능 제한 정도가 다름.","마비, 감각 소실, 방광·장 기능 장애","사지마비|하지마비","ASIA|MMT|ROM","반사망치|안전핀","Dermatome 및 Myotome 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","ASIA A~E 분류","ASIA C 이상 시 기능적 보행 가능성 증가","바로누운자세(Supine)","Babinski sign|Clonus","체위변경훈련|이동훈련","압박손상 예방→기능훈련","척수손상 수준 평가","자율신경반사부전 확인"
TBI,"tbi,TBI,traumatic brain injury,외상성 뇌손상","티비아이","","외상성 뇌손상","Traumatic Brain Injury","외상성 뇌손상(Traumatic Brain Injury)은 외부 충격으로 인해 발생하는 뇌 손상으로 인지 저하, 운동 기능 저하, 행동 변화가 발생할 수 있음.","인지 저하, 균형 장애, 운동 기능 저하","뇌손상","FIM|MMT|BBS","평가지|검사자 손","인지 및 운동 기능 평가","","","","기능 독립도 기반 평가","인지 기능 평가 중요","앉은자세(Sitting)|선자세(Standing)","Neurologic examination","균형훈련|인지훈련","안정→기능 회복","뇌손상 재활 평가","주의력 및 기억력 확인"
Parkinson disease,"parkinson disease,파킨슨병,파킨슨","파킨슨","","파킨슨병","Parkinson Disease","파킨슨병(Parkinson Disease)은 흑질(substantia nigra)의 도파민 신경세포 감소로 발생하는 퇴행성 신경계 질환으로 떨림(tremor), 경직(rigidity), 운동완만(bradykinesia)이 특징임.","휴식 시 떨림, 보행장애, 경직, 자세 불안정","신경퇴행성 질환","BBS|TUG|MMT","검사자 손|보행 공간","보행 및 균형 기능 평가","","","","TUG 및 균형 능력 기반 평가","낙상 위험 높음","선자세(Standing)|보행","Pull test","보행훈련|리듬훈련","균형→보행→기능훈련","파킨슨 기능 평가","Freezing gait 확인"
Bell palsy,"bell palsy,벨마비,안면신경마비","벨팔시","","벨마비","Bell Palsy","벨마비(Bell Palsy)는 얼굴신경(facial nerve, CN VII)의 말초성 손상으로 인해 얼굴 근육 마비가 발생하는 질환으로 눈 감기 어려움과 입 비대칭이 특징임.","얼굴 비대칭, 눈 감기 어려움, 입 처짐","안면신경마비","MMT","거울|검사자 손","얼굴 표정 및 근육 움직임 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","얼굴 움직임 기반 평가","조기 안면운동 중요","앉은자세(Sitting)","Facial expression test","안면운동|마사지","ROM→표정훈련","안면신경 기능 평가","눈 보호 중요"
Hemiplegia,"hemiplegia,편마비","헤미플리지","","편마비","Hemiplegia","편마비(Hemiplegia)는 신경계 손상으로 인해 신체 한쪽의 운동 및 감각 기능 저하가 발생한 상태로 뇌졸중에서 흔하게 나타남.","편측 근력저하, 균형장애, 보행장애","뇌졸중|외상성 뇌손상","MMT|BBS|ROM","검사자 손","근력 및 균형 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","기능 수준 기반 평가","조기 체중지지 중요","앉은자세(Sitting)|선자세(Standing)","Babinski sign","보행훈련|체중이동훈련","체중지지→보행훈련","편마비 기능 평가","어깨 아탈구 예방"
Paraplegia,"paraplegia,하지마비","패러플리지","","하지마비","Paraplegia","하지마비(Paraplegia)는 척수손상 또는 신경계 손상으로 인해 양쪽 하지의 운동 및 감각 기능이 손상된 상태임.","하지 근력 저하, 감각 소실, 보행 장애","척수손상","ASIA|MMT","반사망치|검사자 손","하지 기능 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","ASIA 수준 기반 평가","체위변경 및 욕창 예방 중요","바로누운자세(Supine)|앉은자세(Sitting)","Clonus","이동훈련|휠체어훈련","압박손상 예방→기능훈련","척수손상 재활","욕창 예방 중요"
Quadriplegia,"quadriplegia,사지마비,tetraplegia","쿼드리플리지","","사지마비","Quadriplegia","사지마비(Quadriplegia)는 목척수(cervical spinal cord)의 손상으로 인해 양쪽 위팔과 아래팔 및 하지의 운동·감각 기능이 손상된 상태를 의미함. 손상 수준에 따라 호흡 기능과 일상생활 독립 수준 차이가 큼.","사지 근력 저하, 감각 소실, 호흡 기능 저하","척수손상","ASIA|MMT|FIM","반사망치|안전핀|검사자 손","피부분절(Dermatome) 및 근육분절(Myotome) 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","ASIA 수준 기반 기능 평가","경수 손상 시 호흡관리 필요","바로누운자세(Supine)|앉은자세(Sitting)","Clonus|Babinski sign","호흡운동|이동훈련|체위변경훈련","호흡관리→체위조절→기능훈련","경수 손상 기능 평가","압박손상 및 자율신경반사부전 주의"
Spasticity,"spasticity,경직,강직","스패스티시티","","경직","Spasticity","경직(Spasticity)은 상위운동신경원 병변 후 속도 의존적(velocity-dependent) 근긴장도 증가가 발생하는 상태로 수동 움직임 시 저항 증가와 catch 현상이 나타남.","근긴장도 증가, 구축(contracture), 비정상 자세","뇌졸중|뇌성마비|척수손상","MAS|ROM","검사자 손","빠른 속도의 수동 움직임 적용","","","","MAS 점수 기반 평가","MAS Grade 2 이상 시 기능 제한 가능성 증가","바로누운자세(Supine)","Clonus|Babinski sign","스트레칭|체중지지훈련","경직 감소→기능훈련","신경계 재활 평가","속도 빠르게 검사해야 정확함"
Forward head posture,"forward head posture,FHP,거북목,거북목증후군","포워드 헤드 포스처","거북목","앞쪽머리자세","Forward Head Posture","앞쪽머리자세(Forward Head Posture)는 머리가 몸통보다 앞쪽으로 위치하는 자세 이상으로 깊은목굽힘근(deep neck flexor)의 약화와 목빗근(sternocleidomastoid), 등세모근(upper trapezius)의 과활성화가 동반됨.","목 통증, 두통, 어깨 말림, 자세 불균형","목통증|자세이상","ROM|MMT","자세평가 도구|검사자 손","목 정렬 및 자세 분석","","","","머리 전방 이동 정도 기반 평가","심한 경우 목통증 및 두통 증가","앉은자세(Sitting)|선자세(Standing)","Craniocervical flexion test","턱당기기운동(Chin tuck)|자세교정운동","자세교정→심부근 활성화","자세 이상 평가","등세모근 및 목빗근 과활성화 확인"
Scoliosis,"scoliosis,척추측만증,척주옆굽음증","스콜리오시스","척추측만증","척주옆굽음증","Scoliosis","척주옆굽음증(Scoliosis)은 척주(spine)의 가쪽굽음(lateral curvature)과 회전 변형이 동반되는 3차원적 척주 변형 질환임. Cobb angle을 기준으로 중증도를 분류함.","어깨 높이 차이, 몸통 비대칭, 허리 통증","척주변형","ROM|Posture assessment","X-ray|Scoliometer","Cobb angle 측정 및 자세 평가","","","","Cobb angle 기반 중증도 평가","10° 이상 시 척주옆굽음증","선자세(Standing)","Adam forward bend test","Schroth exercise|자세교정운동","정렬교정→근력강화","척주 정렬 평가","골반 비대칭 확인"
Herniated disc,"herniated disc,HIVD,디스크,허리디스크,추간판탈출증","허니에이티드 디스크","디스크","추간판탈출증","Herniated Disc","추간판탈출증(Herniated Disc)은 추간판(intervertebral disc)의 수핵(nucleus pulposus)이 돌출되어 신경뿌리(nerve root)를 압박하는 질환으로 허리 통증과 방사통(radicular pain)이 나타남.","허리 통증, 하지 방사통, 저림","허리통증|목신경뿌리병증","SLR|ROM","침상|검사자 손","SLR 및 신경학적 검사 시행","","","","통증 및 방사통 기반 평가","30~70° 방사통 시 신경 압박 의심","바로누운자세(Supine)","SLR|Crossed SLR","맥켄지 운동|신경가동술","통증 감소→신경가동성 회복","허리 통증 평가","기침 시 통증 증가 여부 확인"
Low back pain,"low back pain,LBP,허리통증,요통","로우백페인","요통","허리통증","Low Back Pain","허리통증(Low Back Pain)은 허리 부위의 근육, 인대, 추간판 또는 관절 문제로 인해 발생하는 통증 증후군으로 움직임 제한과 기능 저하를 유발함.","허리 통증, 움직임 제한, 근긴장 증가","추간판탈출증|자세이상","ROM|VAS","통증척도|검사자 손","통증 위치 및 움직임 제한 평가","","","","VAS 기반 통증 평가","3개월 이상 지속 시 만성 통증 의심","앉은자세(Sitting)|선자세(Standing)","SLR","허리안정화운동|맥켄지 운동","통증 감소→안정화운동","허리 기능 평가","통증 유발 자세 확인"
Cervical radiculopathy,"cervical radiculopathy,경추신경근병증,목디스크,목신경뿌리병증","서비컬 래디큘로패시","목디스크","목신경뿌리병증","Cervical Radiculopathy","목신경뿌리병증(Cervical Radiculopathy)은 목신경뿌리(cervical nerve root)의 압박으로 인해 위팔 방사통, 감각 이상 및 근력 저하가 발생하는 질환임.","위팔 방사통, 저림, 감각 저하","추간판탈출증","Spurling test|ROM","검사자 손","신경학적 검사 및 방사통 평가","","","","방사통 기반 평가","Spurling 양성 시 의심","앉은자세(Sitting)","Spurling test|Distraction test","신경가동술|목안정화운동","통증 감소→자세교정","목신경 압박 평가","감각 변화 dermatomal pattern 확인"
Frozen shoulder,"frozen shoulder,오십견,동결견,유착성관절낭염","프로즌 숄더","오십견","유착성 관절주머니염","Frozen Shoulder","유착성 관절주머니염(Frozen Shoulder)은 어깨관절 관절주머니(capsule)의 염증과 섬유화로 인해 통증 및 관절가동범위 감소가 발생하는 질환임.","야간통, 벌림 제한, 가쪽돌림 제한","어깨통증","ROM|VAS","고니오미터|검사자 손","관절가동범위 및 통증 평가","어깨관절 벌림 감소|어깨관절 가쪽돌림 감소","","","관절가동범위 제한 기반 평가","가쪽돌림 제한 특징적","앉은자세(Sitting)","Apley scratch test","관절가동운동|진자운동","통증 감소→관절가동범위 회복","어깨 기능 평가","유착 단계(stage) 확인"
Rotator cuff tear,"rotator cuff tear,회전근개파열,어깨힘줄파열","로테이터 커프 티어","","회전근개 파열","Rotator Cuff Tear","회전근개 파열(Rotator Cuff Tear)은 회전근개의 부분 또는 완전 파열로 인해 어깨 통증, 근력 저하 및 벌림 기능 제한이 발생하는 질환임.","야간통, 벌림 약화, painful arc","어깨충돌증후군","MMT|ROM","검사자 손","근력 및 관절가동범위 평가","어깨관절 벌림 감소","","","Empty can 및 Drop arm 기반 평가","Drop arm 양성 시 파열 의심","앉은자세(Sitting)","Empty can|Drop arm","회전근개 강화 운동","통증 감소→근력강화","회전근개 기능 평가","보상 움직임 확인"
Impingement syndrome,"impingement syndrome,어깨충돌증후군,충돌증후군","임핀지먼트","","어깨충돌증후군","Impingement Syndrome","어깨충돌증후군(Impingement Syndrome)은 회전근개와 견봉밑공간(subacromial space)의 반복적 충돌로 인해 통증과 움직임 제한이 발생하는 질환임.","painful arc, 어깨 앞가쪽 통증","회전근개 파열","Neer test|Hawkins-Kennedy","검사자 손","통증 유발 검사 시행","","","","특수검사 기반 평가","Neer 또는 Hawkins 양성 시 의심","앉은자세(Sitting)","Neer test|Hawkins-Kennedy","견갑안정화운동|회전근개 강화","통증 감소→견갑 안정화","어깨 충돌 평가","overhead activity 통증 확인"
ACL injury,"acl injury,ACL injury,전방십자인대손상,앞십자인대손상,앞십자인대,acl 파열","에이씨엘 인저리","","앞십자인대 손상","Anterior Cruciate Ligament Injury","앞십자인대 손상(Anterior Cruciate Ligament Injury)은 무릎관절의 회전 또는 과신전에 의해 앞십자인대(anterior cruciate ligament)가 손상되는 질환으로 불안정성(instability)과 giving way 증상이 특징적임.","무릎 불안정성, giving way, 부종, 통증","반달연골 손상|안쪽곁인대 손상","Lachman test|Anterior drawer|Pivot shift","침상|검사자 손","무릎 안정성 및 끝느낌(end feel) 평가","무릎관절 굽힘 135°","","","특수검사 기반 평가","Lachman 양성 시 ACL 손상 의심","바로누운자세(Supine)","Lachman test|Anterior drawer|Pivot shift","넙다리네갈래근 강화 운동|균형훈련","통증 감소→관절가동범위 회복→근력강화","무릎 안정성 평가","급성기 부종 확인"
PCL injury,"pcl injury,PCL injury,후방십자인대손상,뒤십자인대손상,뒤십자인대,pcl 파열","피씨엘 인저리","","뒤십자인대 손상","Posterior Cruciate Ligament Injury","뒤십자인대 손상(Posterior Cruciate Ligament Injury)은 무릎관절 굽힘 상태에서 정강뼈 뒤쪽으로 강한 충격이 가해질 때 발생하며 뒤쪽 불안정성과 posterior sag sign이 특징적임.","무릎 뒤쪽 통증, 뒤쪽 불안정성","무릎 인대 손상","Posterior drawer","침상|검사자 손","무릎 안정성 및 posterior sag 평가","무릎관절 굽힘 135°","","","특수검사 기반 평가","Posterior drawer 양성 시 PCL 손상 의심","바로누운자세(Supine)","Posterior drawer|Posterior sag sign","넙다리네갈래근 강화 운동","관절가동범위 회복→근력강화","후방 안정성 평가","초기 뒤넙다리근 강화 주의"
MCL injury,"mcl injury,MCL injury,내측측부인대손상,안쪽곁인대손상,안쪽곁인대","엠씨엘 인저리","내측측부인대 손상","안쪽곁인대 손상","Medial Collateral Ligament Injury","안쪽곁인대 손상(Medial Collateral Ligament Injury)은 무릎관절 가쪽에서 안쪽 방향의 외상(valgus force)에 의해 발생하며 안쪽 통증과 관절 불안정성이 나타남.","무릎 안쪽 통증, 불안정성","ACL injury|반달연골 손상","Valgus stress test","침상|검사자 손","무릎 안쪽 안정성 평가","무릎관절 굽힘 0°|30°","","","특수검사 기반 평가","30° valgus stress 양성 시 의심","바로누운자세(Supine)","Valgus stress test","무릎 안정화 운동","보호→ROM→근력강화","MCL 기능 평가","부종 및 압통 확인"
LCL injury,"lcl injury,LCL injury,외측측부인대손상,가쪽곁인대손상,가쪽곁인대","엘씨엘 인저리","외측측부인대 손상","가쪽곁인대 손상","Lateral Collateral Ligament Injury","가쪽곁인대 손상(Lateral Collateral Ligament Injury)은 무릎관절 안쪽에서 가쪽 방향의 외상(varus force)에 의해 발생하며 가쪽 통증과 불안정성이 발생함.","무릎 가쪽 통증, 불안정성","무릎 인대 손상","Varus stress test","침상|검사자 손","무릎 가쪽 안정성 평가","무릎관절 굽힘 0°|30°","","","특수검사 기반 평가","30° varus stress 양성 시 의심","바로누운자세(Supine)","Varus stress test","무릎 안정화 운동","보호→ROM→근력강화","LCL 기능 평가","양측 비교 필수"
Meniscus injury,"meniscus injury,meniscus tear,반월상연골손상,반달연골손상","메니스커스 인저리","반월상연골 손상","반달연골 손상","Meniscus Injury","반달연골 손상(Meniscus Injury)은 무릎관절의 회전 손상에 의해 반달연골(meniscus)이 손상된 상태로 locking, clicking 및 관절선 통증이 특징적임.","무릎 잠김(locking), 클릭음, 관절선 압통","ACL injury","McMurray test|Apley test|Thessaly test","침상|검사자 손","관절선 압통 및 회전 검사 시행","무릎관절 굽힘 135°","","","특수검사 기반 평가","McMurray 양성 시 손상 의심","바로누운자세(Supine)|선자세(Standing)","McMurray test|Apley test|Thessaly test","관절가동운동|균형훈련","통증 감소→기능 회복","반달연골 평가","locking 증상 확인"
Ankle sprain,"ankle sprain,발목염좌,발목삠","앵클 스프레인","","발목 염좌","Ankle Sprain","발목 염좌(Ankle Sprain)는 발목관절 인대의 과신장 또는 부분 파열로 발생하며 특히 앞목말종아리인대(anterior talofibular ligament, ATFL) 손상이 흔함.","발목 통증, 부종, 체중지지 어려움","인대 손상","Anterior drawer ankle test","침상|검사자 손","발목 안정성 및 압통 평가","발목관절 발등굽힘 20°|발바닥굽힘 50°","","","Ottawa ankle rule 기반 평가","심한 부종 시 영상검사 고려","앉은자세(Sitting)|바로누운자세(Supine)","Anterior drawer ankle test|Talar tilt","발목 안정화 운동|균형훈련","통증 감소→ROM→고유수용감각훈련","발목 안정성 평가","ATFL 압통 여부 확인"
Plantar fasciitis,"plantar fasciitis,족저근막염,발바닥근막염","플랜터 패시아이티스","족저근막염","발바닥근막염","Plantar Fasciitis","발바닥근막염(Plantar Fasciitis)은 발바닥근막(plantar fascia)의 반복적 미세 손상과 염증으로 인해 뒤꿈치 통증이 발생하는 질환이며 아침 첫 보행 시 통증이 특징적임.","발뒤꿈치 통증, 보행 시 통증, 아침 통증","발 통증","ROM|Palpation","검사자 손","발바닥 압통 및 발목관절 가동성 평가","발목관절 발등굽힘 20°","","","통증 기반 평가","아침 첫 걸음 통증 특징적","선자세(Standing)|앉은자세(Sitting)","Windlass test","종아리 스트레칭|발바닥근막 스트레칭","통증 감소→유연성 회복","발 통증 평가","종아리근 단축 확인"
Carpal tunnel syndrome,"carpal tunnel syndrome,CTS,손목터널증후군,손목굴증후군","카팔 터널 신드롬","손목터널증후군","손목굴증후군","Carpal Tunnel Syndrome","손목굴증후군(Carpal Tunnel Syndrome)은 정중신경(median nerve)이 손목굴(carpal tunnel) 내에서 압박되어 감각 이상과 손 기능 저하가 발생하는 질환임.","손 저림, 야간통, 엄지 약화","말초신경 압박","Phalen test|Tinel sign","검사자 손|타이머","정중신경 증상 및 감각 평가","","","","특수검사 기반 평가","Phalen 양성 시 의심","앉은자세(Sitting)","Phalen test|Tinel sign","신경가동술|손목 스트레칭","통증 감소→기능 회복","말초신경 압박 평가","야간 증상 확인"
Tennis elbow,"tennis elbow,lateral epicondylitis,테니스엘보,외측상과염,가쪽위관절융기염","테니스 엘보","외측상과염","가쪽위관절융기염","Lateral Epicondylitis","가쪽위관절융기염(Lateral Epicondylitis)은 손목 폄근(extensor muscle)의 반복적 사용으로 가쪽위관절융기(lateral epicondyle)에 염증과 통증이 발생하는 질환임.","팔꿉관절 가쪽 통증, 악력 저하","과사용 손상","Cozen test","검사자 손","손목 폄 저항 시 통증 평가","손목관절 폄 70°","","","통증 기반 평가","저항 시 통증 증가 특징적","앉은자세(Sitting)","Cozen test|Mill test","손목 폄근 스트레칭|편심성 운동","통증 감소→근력강화","팔꿉관절 통증 평가","반복 사용력 확인"
Golfer elbow,"golfer elbow,medial epicondylitis,골프엘보,내측상과염,안쪽위관절융기염","골퍼 엘보","내측상과염","안쪽위관절융기염","Medial Epicondylitis","안쪽위관절융기염(Medial Epicondylitis)은 손목 굽힘근(flexor muscle)의 반복적 사용으로 안쪽위관절융기(medial epicondyle)에 통증과 염증이 발생하는 질환임.","팔꿉관절 안쪽 통증, 악력 감소","과사용 손상","Golfer elbow test","검사자 손","손목 굽힘 저항 시 통증 평가","손목관절 굽힘 80°","","","통증 기반 평가","저항 시 안쪽 통증 특징적","앉은자세(Sitting)","Resisted wrist flexion test","손목 굽힘근 스트레칭|편심성 운동","통증 감소→근력강화","팔꿉관절 통증 평가","반복 손목 사용 확인"
Rotator cuff,"rotator cuff,회전근개,회전근개근육,로테이터커프,어깨회전근","로테이터 커프","","회전근개","Rotator Cuff","회전근개(Rotator Cuff)는 가시위근(Supraspinatus), 가시아래근(Infraspinatus), 작은원근(Teres minor), 어깨밑근(Subscapularis)으로 구성된 어깨관절(glenohumeral joint)의 동적 안정화 근육군임. 상완골머리(humeral head)의 중심화를 유지하며 벌림(abduction), 가쪽돌림(external rotation), 안쪽돌림(internal rotation)에 관여함.","야간통(nocturnal pain), painful arc, 벌림 약화, 가쪽돌림 약화","회전근개 파열|어깨충돌증후군|유착성 관절주머니염","MMT|ROM","검사자 손|고니오미터","어깨관절 벌림 및 돌림 기능 평가","어깨관절 굽힘 180°|벌림 180°|가쪽돌림 90°|안쪽돌림 70°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 저하 및 통증 기반 평가","야간통 및 painful arc 시 의심","앉은자세(Sitting)|바로누운자세(Supine)","Empty can|Drop arm|Lift-off|Belly press","회전근개 강화 운동|견갑 안정화 운동","ROM 회복→근활성화→저항운동","어깨 안정성 평가","등세모근 보상(compensation) 확인"
Supraspinatus,"supraspinatus,극상근,가시위근,수프라스피나투스","수프라스피나투스","극상근","가시위근","Supraspinatus","가시위근(Supraspinatus)은 회전근개의 구성 근육으로 어깨관절(glenohumeral joint)의 초기 벌림(abduction 0~15°)을 담당하며 상완골머리(humeral head)의 안정화에 기여함. 견봉밑공간(subacromial space)을 통과하므로 충돌증후군에 취약함.","벌림 시 통증, painful arc, 야간통, 벌림 약화","회전근개 파열|어깨충돌증후군","MMT|ROM","검사자 손|고니오미터","어깨관절 30° 앞쪽면(scapular plane) 벌림 저항 평가","어깨관절 벌림 180°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","벌림 근력 기반 평가","Empty can 양성 시 손상 의심","앉은자세(Sitting)","Empty can|Drop arm","Scaption 운동|회전근개 강화 운동","ROM 회복→근활성화→저항운동","가시위근 기능 평가","등세모근 보상 확인"
Infraspinatus,"infraspinatus,극하근,가시아래근,인프라스피나투스","인프라스피나투스","극하근","가시아래근","Infraspinatus","가시아래근(Infraspinatus)은 회전근개의 구성 근육으로 어깨관절의 가쪽돌림(external rotation)을 담당하며 어깨 뒤쪽 안정성에 중요한 역할을 함. 반복적인 overhead activity에서 과사용 손상이 흔함.","가쪽돌림 약화, 어깨 뒤쪽 통증","회전근개 파열|어깨 불안정성","MMT|ROM","검사자 손","어깨관절 가쪽돌림 저항 평가","어깨관절 가쪽돌림 90°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","가쪽돌림 근력 기반 평가","External Rotation Lag Sign 양성 시 의심","앉은자세(Sitting)","External Rotation Lag Sign","가쪽돌림 강화 운동","ROM 회복→근력강화","어깨 뒤쪽 안정성 평가","작은원근과 감별 필요"
Subscapularis,"subscapularis,견갑하근,어깨밑근,섭스카풀라리스","섭스카풀라리스","견갑하근","어깨밑근","Subscapularis","어깨밑근(Subscapularis)은 회전근개의 구성 근육으로 어깨관절의 안쪽돌림(internal rotation)을 담당하며 전방 안정성(anterior stability)에 중요한 역할을 함.","안쪽돌림 약화, 어깨 앞쪽 통증","회전근개 파열|어깨 불안정성","MMT|ROM","검사자 손","어깨관절 안쪽돌림 저항 평가","어깨관절 안쪽돌림 70°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","안쪽돌림 근력 기반 평가","Lift-off 또는 Belly press 양성 시 의심","앉은자세(Sitting)","Lift-off|Belly press","안쪽돌림 강화 운동","ROM 회복→근력강화","전방 안정성 평가","몸통 보상 확인"
Teres minor,"teres minor,소원근,작은원근,테레스마이너","테레스 마이너","소원근","작은원근","Teres Minor","작은원근(Teres Minor)은 회전근개의 구성 근육으로 어깨관절의 가쪽돌림(external rotation)을 보조하며 뒤쪽 안정성 유지에 기여함.","가쪽돌림 약화, 어깨 뒤쪽 통증","회전근개 파열","MMT","검사자 손","어깨관절 가쪽돌림 저항 평가","어깨관절 가쪽돌림 90°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 저하 기반 평가","Hornblower sign 양성 시 의심","앉은자세(Sitting)","Hornblower sign","가쪽돌림 강화 운동","ROM 회복→근력강화","어깨 뒤쪽 안정성 평가","가시아래근과 함께 평가"
Trapezius,"trapezius,승모근,등세모근,트라페지우스","트라페지우스","승모근","등세모근","Trapezius","등세모근(Trapezius)은 위섬유(upper fiber), 중간섬유(middle fiber), 아래섬유(lower fiber)로 구성되며 어깨뼈(scapula)의 올림(elevation), 뒤당김(retraction), 내림(depression), 위쪽돌림(upward rotation)에 관여함.","목 통증, 어깨 긴장, 자세 이상","앞쪽머리자세|어깨충돌증후군","MMT|Posture assessment","검사자 손","섬유별 어깨뼈 움직임 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","자세 및 근력 기반 평가","과활성화 시 자세 이상 의심","앉은자세(Sitting)|엎드린자세(Prone)","Scapular assistance test","등세모근 스트레칭|견갑 안정화 운동","스트레칭→안정화→근력강화","견갑 안정성 평가","상부섬유 과활성화 흔함"
Deltoid,"deltoid,삼각근,어깨세모근,델토이드","델토이드","","삼각근","Deltoid","어깨세모근(Deltoid)은 앞섬유(anterior fiber), 중간섬유(middle fiber), 뒤섬유(posterior fiber)로 구성되며 각각 굽힘(flexion), 벌림(abduction), 폄(extension)에 관여하는 어깨관절 주요 근육임.","벌림 약화, 어깨 통증","회전근개 파열|어깨 불안정성","MMT","검사자 손","섬유별 움직임 저항 평가","어깨관절 벌림 180°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","벌림 근력 기반 평가","벌림 약화 시 신경손상 감별 필요","앉은자세(Sitting)","Empty can","어깨세모근 강화 운동","ROM 회복→근력강화","어깨 움직임 평가","겨드랑신경(axillary nerve) 손상 감별"
Pectoralis major,"pectoralis major,대흉근,큰가슴근,펙토랄리스 메이저","펙토랄리스 메이저","대흉근","큰가슴근","Pectoralis Major","큰가슴근(Pectoralis Major)은 빗장부분(clavicular head)과 복장갈비부분(sternocostal head)으로 구성되며 어깨관절의 모음(adduction), 안쪽돌림(internal rotation), 굽힘(flexion)에 관여함.","어깨 앞쪽 긴장, 둥근어깨(round shoulder)","자세이상|어깨통증","MMT|Posture assessment","검사자 손","어깨관절 모음 저항 평가","어깨관절 모음 180°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","자세 및 근력 기반 평가","단축 시 둥근어깨 유발","앉은자세(Sitting)","Postural assessment","가슴근 스트레칭","유연성 회복→자세교정","자세 이상 평가","짧아진 근육(shortened muscle) 확인"
Sternocleidomastoid,"sternocleidomastoid,SCM,흉쇄유돌근,목빗근","에스씨엠","흉쇄유돌근","목빗근","Sternocleidomastoid","목빗근(Sternocleidomastoid)은 목뼈(cervical spine)의 굽힘(flexion), 반대쪽 돌림(rotation)에 관여하며 앞쪽머리자세(forward head posture)에서 과활성화가 흔함.","목 통증, 두통, 자세 이상","앞쪽머리자세|목통증","MMT|ROM","검사자 손","목뼈 굽힘 및 돌림 저항 평가","목뼈 돌림 80°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","자세 및 근력 기반 평가","과긴장 시 두통 유발 가능","앉은자세(Sitting)","Palpation","목 스트레칭|자세교정운동","유연성 회복→자세교정","목 자세 평가","등세모근 과활성화 함께 확인"
Deep neck flexor,"deep neck flexor,깊은목굽힘근,dnf","디엔에프","","심부목굽힘근","Deep Neck Flexor","심부목굽힘근(Deep Neck Flexor)은 긴목근(longus colli), 긴머리근(longus capitis) 등으로 구성되며 목뼈 안정성(cervical stability)과 자세 조절(postural control)에 중요한 역할을 함.","목 피로감, 자세 불안정, 목 통증","앞쪽머리자세|목통증","MMT|Craniocervical flexion test","Pressure biofeedback","턱당기기(chin tuck) 유지 능력 평가","","","","지구력 기반 평가","조기 피로 시 약화 의심","바로누운자세(Supine)","Craniocervical flexion test","턱당기기운동(Chin tuck)","활성화→지구력 강화","목 안정성 평가","목빗근 보상 여부 확인"
